TwitchToolkit - Log - Sunday, October 3, 2021
saltymaud gets 10 * 2 coins, total 20
saltymaud gets 10 * 2 coins, total 20
saltymaud gets 10 * 2 coins, total 20
saltymaud gets 10 * 2 coins, total 20
saltymaud gets 10 * 2 coins, total 20
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 2 coins, total 20
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaudbeepboop gets 10 * 1 coins, total 10
Purchase saltymaud: !buy pawn anthro @ 6:51 PM
saltymaud's karma went from 100 to 278
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 5.56 coins, total 56
saltymaud gave viewer saltymaud 3000 coins @ 6:52 PM
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 5.56 coins, total 56
saltymaud gave viewer saltymaud 100000 coins @ 6:52 PM
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 5.56 coins, total 56
Purchase saltymaud: !buy removetrait wayfarer @ 6:53 PM
saltymaud's karma went from 278 to 323
Purchase saltymaud: !buy trait deathknight @ 6:53 PM
saltymaud's karma went from 323 to 456
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 9.12 coins, total 92
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 9.12 coins, total 92
Purchase saltymaud: !buy equip mace[plasteel,legendary] @ 6:56 PM
saltymaud's karma went from 456 to 500
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 10 coins, total 100
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 10 coins, total 100
saltymaudbeepboop gets 10 * 1 coins, total 10
saltymaud gets 10 * 10 coins, total 100
wager: 5000 gamePoints: 59.25405 pointsPurchased: 118.5081 totalRolls: 8 highestRoll: 119 finalPoints: 141.0246
